C1orf112,HPA023778;HPA024451;
MGST3,HPA053311;HPA077929;
UFC1,HPA027481;HPA028722;
NR1I3,HPA051365;
USP21,HPA028397;
RRNAD1,HPA047426;
ISG20L2,HPA028005;HPA054285;
CRABP2,HPA004135;
HDGF,CAB026035;HPA048728;HPA053422;
ABL2,HPA001866;CAB017106;HPA072754;
RGS16,HPA053250;HPA055824;
TOR1AIP1,HPA047151;HPA050546;HPA070991;
RGL1,HPA019788;
LYPLAL1,HPA045806;
PRUNE1,HPA028411;
TUFT1,HPA028112;HPA054301;
ECM1,HPA027241;HPA076029;
CGN,CAB017193;HPA027586;HPA027587;HPA027657;
SNX27,HPA045816;
SETDB1,HPA018142;HPA058484;
ADAMTSL4,HPA006279;
MCL1,CAB002781;HPA008455;HPA031125;CAB068195;
PI4KB,HPA006280;HPA006281;CAB022071;
PIP5K1A,HPA029366;
MINDY1,HPA028351;HPA028358;HPA061086;
ANXA9,HPA028404;HPA028698;
SELENBP1,HPA005741;CAB008366;HPA011731;
CERS2,HPA027262;HPA078737;
MRPL9,HPA008579;
POGZ,HPA006800;HPA008781;
GABPB2,HPA028471;HPA058483;
SYT14,HPA036963;
DTL,HPA028016;HPA032023;HPA032031;
EIF2D,HPA028220;
VASH2,HPA045820;
SMYD2,HPA029023;
SUSD4,HPA058296;
HHIPL2,HPA059673;
TP53BP2,HPA021603;HPA050429;
RAB13,HPA003996;
TPM3,HPA000261;HPA009066;HPA047089;HPA053624;
S100A7,CAB001453;HPA006997;CAB033766;
UBAP2L,HPA035068;
CREB3L4,HPA038122;
KCNN3,HPA057127;
GATAD2B,HPA017015;
GALNT2,HPA011222;
TTC13,HPA018022;HPA051558;
LYST,HPA053366;HPA055725;
MAP3K21,HPA007636;
ACP1,HPA016754;
SNAP47,HPA028167;
NVL,HPA028207;HPA028219;HPA028224;HPA028654;
SDE2,HPA028467;HPA031255;HPA031256;
ARF1,CAB007742;
GUK1,HPA028118;HPA048587;HPA068324;
C1orf35,HPA046175;
PARP1,CAB000147;CAB003839;CAB003840;HPA045168;CAB075726;CAB075727;
PSEN2,CAB013634;HPA038005;
PYCR2,HPA056873;
LBR,HPA049840;HPA062236;
SOX13,HPA051790;HPA054843;
PDIA6,CA
